"No.","Time","Source","Destination","Protocol","Length","Info"
"2268","62.727031","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2269","62.757099","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2270","62.757223","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2271","62.787178","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2272","62.787296","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2273","62.798873","192.168.56.101","192.168.56.102","QUIC","97","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2274","62.799084","192.168.56.102","192.168.56.101","QUIC","80","Protected Payload (KP0)"
"2275","62.825444","192.168.56.101","192.168.56.102","QUIC","79","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2276","62.900311","192.168.56.101","192.168.56.102","QUIC","91","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2277","62.925613","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2278","63.004058","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2279","63.029605","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2280","63.106623","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2281","63.133081","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2282","63.210084","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2283","63.236425","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2284","63.313779","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2285","63.340180","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2286","63.418511","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2287","63.443685","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2288","63.522012","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2289","63.547547","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2290","63.624711","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2291","63.650192","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2292","63.727550","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2293","63.754728","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2294","63.829742","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2295","63.858126","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2296","63.934082","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2297","63.961161","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2298","64.036198","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2299","64.064499","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2300","64.064719","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2301","64.089903","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2302","64.139383","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2303","64.167942","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2304","64.168063","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2305","64.197584","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2306","64.197819","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2307","64.229540","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2308","64.229764","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2309","64.241834","192.168.56.101","192.168.56.102","QUIC","97","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2310","64.242043","192.168.56.102","192.168.56.101","QUIC","80","Protected Payload (KP0)"
"2311","64.269665","192.168.56.101","192.168.56.102","QUIC","79","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2312","64.344707","192.168.56.101","192.168.56.102","QUIC","91","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2313","64.374221","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2314","64.447053","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2315","64.472799","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2316","64.550208","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2317","64.580568","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2318","64.580806","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2319","64.609603","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2320","64.609731","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2321","64.639501","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2322","64.639588","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2323","64.652673","192.168.56.101","192.168.56.102","QUIC","97","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2324","64.653885","192.168.56.102","192.168.56.101","QUIC","80","Protected Payload (KP0)"
"2325","64.681644","192.168.56.102","192.168.56.101","QUIC","1514","Protected Payload (KP0)"
"2326","64.681871","192.168.56.101","192.168.56.102","QUIC","79","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2327","64.708160","192.168.56.101","192.168.56.102","QUIC","79","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2328","64.755967","192.168.56.101","192.168.56.102","QUIC","91","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2329","64.785624","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2330","64.785779","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2331","64.815762","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2332","64.815882","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2333","64.846694","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2334","64.846780","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2335","64.859046","192.168.56.101","192.168.56.102","QUIC","97","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2336","64.859248","192.168.56.102","192.168.56.101","QUIC","80","Protected Payload (KP0)"
"2337","64.887096","192.168.56.101","192.168.56.102","QUIC","79","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2338","64.961958","192.168.56.101","192.168.56.102","QUIC","91","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2339","64.988239","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2340","65.064725","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2341","65.090106","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
