"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.101","192.168.56.102","TCP","74","38384  >  1883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1854624553 TSecr=0 WS=128"
"2","0.000023","192.168.56.102","192.168.56.101","TCP","74","1883  >  38384 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=681665007 TSecr=1854624553 WS=128"
"3","0.000395","192.168.56.101","192.168.56.102","TCP","66","38384  >  1883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1854624554 TSecr=681665007"
"4","0.001046","192.168.56.101","192.168.56.102","MQTT","142","Connect Command"
"5","0.001053","192.168.56.102","192.168.56.101","TCP","66","1883  >  38384 [ACK] Seq=1 Ack=77 Win=65152 Len=0 TSval=681665009 TSecr=1854624555"
"6","0.001959","192.168.56.102","192.168.56.101","MQTT","70","Connect Ack"
"7","0.002484","192.168.56.101","192.168.56.102","TCP","66","38384  >  1883 [ACK] Seq=77 Ack=5 Win=64256 Len=0 TSval=1854624556 TSecr=681665009"
"8","0.002734","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"9","0.058156","192.168.56.102","192.168.56.101","TCP","66","1883  >  38384 [ACK] Seq=5 Ack=90 Win=65152 Len=0 TSval=681665066 TSecr=1854624556"
"10","0.103473","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"11","0.103490","192.168.56.102","192.168.56.101","TCP","66","1883  >  38384 [ACK] Seq=5 Ack=103 Win=65152 Len=0 TSval=681665111 TSecr=1854624657"
"12","0.204051","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"13","0.204068","192.168.56.102","192.168.56.101","TCP","66","1883  >  38384 [ACK] Seq=5 Ack=116 Win=65152 Len=0 TSval=681665212 TSecr=1854624757"
"14","0.304561","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"15","0.304627","192.168.56.102","192.168.56.101","TCP","66","1883  >  38384 [ACK] Seq=5 Ack=129 Win=65152 Len=0 TSval=681665312 TSecr=1854624858"
"16","0.405055","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"17","0.405071","192.168.56.102","192.168.56.101","TCP","66","1883  >  38384 [ACK] Seq=5 Ack=142 Win=65152 Len=0 TSval=681665413 TSecr=1854624959"
"18","0.506371","192.168.56.101","192.168.56.102","MQTT","79","Publish Message [topic]"
"19","0.506388","192.168.56.102","192.168.56.101","TCP","66","1883  >  38384 [ACK] Seq=5 Ack=155 Win=65152 Len=0 TSval=681665514 TSecr=1854625060"
