"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.101","192.168.56.102","TCP","74","33044  >  8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1856178943 TSecr=0 WS=128"
"2","0.000024","192.168.56.102","192.168.56.101","TCP","74","8883  >  33044 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=683219364 TSecr=1856178943 WS=128"
"3","0.000647","192.168.56.101","192.168.56.102","TCP","66","33044  >  8883 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1856178943 TSecr=683219364"
"4","0.000959","192.168.56.101","192.168.56.102","TLSv1.2","382","Client Hello"
"5","0.000967","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=1 Ack=317 Win=64896 Len=0 TSval=683219365 TSecr=1856178944"
"6","0.004493","192.168.56.102","192.168.56.101","TLSv1.2","2134","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"7","0.005128","192.168.56.101","192.168.56.102","TCP","66","33044  >  8883 [ACK] Seq=317 Ack=2069 Win=63488 Len=0 TSval=1856178948 TSecr=683219369"
"8","0.008911","192.168.56.101","192.168.56.102","TLSv1.2","108","Client Key Exchange"
"9","0.009300","192.168.56.101","192.168.56.102","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"10","0.009498","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2069 Ack=410 Win=64896 Len=0 TSval=683219374 TSecr=1856178952"
"11","0.009678","192.168.56.102","192.168.56.101","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"12","0.010466","192.168.56.101","192.168.56.102","TLSv1.2","139","Application Data"
"13","0.010922","192.168.56.102","192.168.56.101","TLSv1.2","99","Application Data"
"14","0.013371","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"15","0.013750","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"16","0.013933","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=559 Win=64896 Len=0 TSval=683219378 TSecr=1856178956"
"17","0.115708","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"18","0.115709","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"19","0.116223","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=635 Win=64896 Len=0 TSval=683219480 TSecr=1856179058"
"20","0.217922","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"21","0.218239","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"22","0.218431","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=711 Win=64896 Len=0 TSval=683219582 TSecr=1856179161"
"23","0.320388","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"24","0.320698","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"25","0.320877","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=787 Win=64896 Len=0 TSval=683219685 TSecr=1856179263"
"26","0.422725","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"27","0.423122","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"28","0.423440","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=863 Win=64896 Len=0 TSval=683219787 TSecr=1856179365"
"29","0.524803","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"30","0.525101","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"31","0.525338","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=939 Win=64896 Len=0 TSval=683219889 TSecr=1856179468"
"32","0.626708","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"33","0.627015","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"34","0.627231","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=1015 Win=64896 Len=0 TSval=683219991 TSecr=1856179569"
"35","0.728353","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"36","0.728663","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"37","0.728763","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=1091 Win=64896 Len=0 TSval=683220093 TSecr=1856179671"
"38","0.829821","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"39","0.830083","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"40","0.830182","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=1167 Win=64896 Len=0 TSval=683220194 TSecr=1856179772"
"41","0.932197","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"42","0.932469","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"43","0.932576","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=1243 Win=64896 Len=0 TSval=683220297 TSecr=1856179875"
"44","1.034775","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"45","1.035022","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"46","1.035170","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=1319 Win=64896 Len=0 TSval=683220399 TSecr=1856179978"
"47","1.136761","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"48","1.137065","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"49","1.137149","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=1395 Win=64896 Len=0 TSval=683220501 TSecr=1856180079"
"50","1.239244","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"51","1.239561","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"52","1.239616","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=1471 Win=64896 Len=0 TSval=683220604 TSecr=1856180182"
"53","1.341178","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"54","1.341439","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"55","1.341560","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=1547 Win=64896 Len=0 TSval=683220706 TSecr=1856180284"
"56","1.444962","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"57","1.445365","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"58","1.445472","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=1623 Win=64896 Len=0 TSval=683220809 TSecr=1856180388"
"59","1.547336","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"60","1.547779","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"61","1.547901","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=1699 Win=64896 Len=0 TSval=683220912 TSecr=1856180490"
"62","1.649871","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"63","1.650176","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"64","1.650317","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=1775 Win=64896 Len=0 TSval=683221014 TSecr=1856180593"
"65","1.753773","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"66","1.754071","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"67","1.754170","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=1851 Win=64896 Len=0 TSval=683221118 TSecr=1856180696"
"68","1.857167","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"69","1.857435","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"70","1.857580","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=1927 Win=64896 Len=0 TSval=683221222 TSecr=1856180800"
"71","1.959979","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"72","1.960319","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"73","1.960415","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=2003 Win=64896 Len=0 TSval=683221324 TSecr=1856180903"
"74","2.063323","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"75","2.063648","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"76","2.063777","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=2079 Win=64896 Len=0 TSval=683221428 TSecr=1856181006"
"77","2.166337","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"78","2.166605","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"79","2.166640","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=2155 Win=64896 Len=0 TSval=683221531 TSecr=1856181109"
"80","2.268703","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"81","2.268924","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"82","2.269038","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=2231 Win=64896 Len=0 TSval=683221633 TSecr=1856181211"
"83","2.372135","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"84","2.372424","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"85","2.372565","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=2307 Win=64896 Len=0 TSval=683221737 TSecr=1856181315"
"86","2.475230","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"87","2.475537","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"88","2.475784","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=2383 Win=64896 Len=0 TSval=683221840 TSecr=1856181418"
"89","2.577344","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"90","2.577672","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"91","2.577821","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=2459 Win=64896 Len=0 TSval=683221942 TSecr=1856181520"
"92","2.679658","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"93","2.679918","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"94","2.680056","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=2535 Win=64896 Len=0 TSval=683222044 TSecr=1856181622"
"95","2.781767","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"96","2.782075","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"97","2.782183","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=2611 Win=64896 Len=0 TSval=683222146 TSecr=1856181725"
"98","2.883056","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"99","2.883368","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"100","2.883507","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=2687 Win=64896 Len=0 TSval=683222248 TSecr=1856181826"
"101","2.985346","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"102","2.985652","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"103","2.985655","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=2763 Win=64896 Len=0 TSval=683222350 TSecr=1856181928"
"104","3.088533","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"105","3.088836","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"106","3.088946","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=2839 Win=64896 Len=0 TSval=683222453 TSecr=1856182031"
"107","3.191695","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"108","3.192081","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"109","3.192222","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=2915 Win=64896 Len=0 TSval=683222556 TSecr=1856182134"
"110","3.294984","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"111","3.295277","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"112","3.295405","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=2991 Win=64896 Len=0 TSval=683222659 TSecr=1856182238"
"113","3.398596","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"114","3.398908","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"115","3.399048","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=3067 Win=64896 Len=0 TSval=683222763 TSecr=1856182341"
"116","3.500252","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"117","3.500568","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"118","3.500705","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=3143 Win=64896 Len=0 TSval=683222865 TSecr=1856182443"
"119","3.602107","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"120","3.602420","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"121","3.602526","192.168.56.102","192.168.56.101","TCP","66","8883  >  33044 [ACK] Seq=2153 Ack=3219 Win=64896 Len=0 TSval=683222967 TSecr=1856182545"
"122","3.704334","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"123","3.704639","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
