"No.","Time","Source","Destination","Protocol","Length","Info"
"55","0.691454","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=1547 Win=64896 Len=0 TSval=683103067 TSecr=1856062645"
"56","0.741854","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"57","0.742310","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"58","0.742416","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=1623 Win=64896 Len=0 TSval=683103118 TSecr=1856062696"
"59","0.794582","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"60","0.794863","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"61","0.794973","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=1699 Win=64896 Len=0 TSval=683103171 TSecr=1856062749"
"62","0.847327","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"63","0.847798","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"64","0.848739","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=1775 Win=64896 Len=0 TSval=683103225 TSecr=1856062801"
"65","0.898765","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"66","0.899101","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"67","0.899206","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=1851 Win=64896 Len=0 TSval=683103275 TSecr=1856062853"
"68","0.951228","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"69","0.951875","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"70","0.952018","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=1927 Win=64896 Len=0 TSval=683103328 TSecr=1856062905"
"71","1.004428","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"72","1.004866","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"73","1.005055","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=2003 Win=64896 Len=0 TSval=683103381 TSecr=1856062958"
"74","1.057147","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"75","1.057424","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"76","1.057437","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=2079 Win=64896 Len=0 TSval=683103433 TSecr=1856063011"
"77","1.108996","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"78","1.109366","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"79","1.109466","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=2155 Win=64896 Len=0 TSval=683103485 TSecr=1856063063"
"80","1.161414","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"81","1.161790","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"82","1.161895","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=2231 Win=64896 Len=0 TSval=683103538 TSecr=1856063115"
"83","1.213862","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"84","1.214328","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"85","1.214433","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=2307 Win=64896 Len=0 TSval=683103590 TSecr=1856063168"
"86","1.265365","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"87","1.265725","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"88","1.265750","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=2383 Win=64896 Len=0 TSval=683103642 TSecr=1856063219"
"89","1.317899","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"90","1.318178","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"91","1.318327","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=2459 Win=64896 Len=0 TSval=683103694 TSecr=1856063272"
"92","1.370091","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"93","1.370590","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"94","1.370705","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=2535 Win=64896 Len=0 TSval=683103747 TSecr=1856063324"
"95","1.422302","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"96","1.422730","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"97","1.422875","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=2611 Win=64896 Len=0 TSval=683103799 TSecr=1856063376"
"98","1.473522","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"99","1.473855","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"100","1.473970","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=2687 Win=64896 Len=0 TSval=683103850 TSecr=1856063428"
"101","1.525067","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"102","1.525658","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"103","1.525763","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=2763 Win=64896 Len=0 TSval=683103902 TSecr=1856063479"
"104","1.576751","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"105","1.577275","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"106","1.577420","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=2839 Win=64896 Len=0 TSval=683103953 TSecr=1856063531"
"107","1.628121","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"108","1.628722","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"109","1.628829","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=2915 Win=64896 Len=0 TSval=683104005 TSecr=1856063582"
"110","1.679838","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"111","1.680199","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"112","1.680256","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=2991 Win=64896 Len=0 TSval=683104056 TSecr=1856063634"
"113","1.732560","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"114","1.733007","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"115","1.733125","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=3067 Win=64896 Len=0 TSval=683104109 TSecr=1856063687"
"116","1.784175","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"117","1.784821","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"118","1.784946","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=3143 Win=64896 Len=0 TSval=683104161 TSecr=1856063738"
"119","1.835904","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"120","1.836613","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"121","1.836761","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=3219 Win=64896 Len=0 TSval=683104213 TSecr=1856063790"
"122","1.887501","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"123","1.888078","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"124","1.888186","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=3295 Win=64896 Len=0 TSval=683104264 TSecr=1856063842"
"125","1.939954","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"126","1.940614","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"127","1.940755","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=3371 Win=64896 Len=0 TSval=683104317 TSecr=1856063894"
"128","1.992946","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"129","1.993388","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"130","1.993528","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=3447 Win=64896 Len=0 TSval=683104369 TSecr=1856063947"
"131","2.045683","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"132","2.046068","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"133","2.046209","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=3523 Win=64896 Len=0 TSval=683104422 TSecr=1856064000"
"134","2.098159","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"135","2.098531","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"136","2.098655","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=3599 Win=64896 Len=0 TSval=683104475 TSecr=1856064052"
"137","2.151176","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"138","2.151567","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"139","2.151827","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=3675 Win=64896 Len=0 TSval=683104528 TSecr=1856064105"
"140","2.203720","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"141","2.204497","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"142","2.204629","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=3751 Win=64896 Len=0 TSval=683104581 TSecr=1856064158"
"143","2.257423","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"144","2.257786","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"145","2.257889","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=3827 Win=64896 Len=0 TSval=683104634 TSecr=1856064211"
"146","2.310019","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"147","2.310367","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"148","2.310507","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=3903 Win=64896 Len=0 TSval=683104686 TSecr=1856064264"
"149","2.362539","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"150","2.362885","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"151","2.362995","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=3979 Win=64896 Len=0 TSval=683104739 TSecr=1856064317"
"152","2.414138","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"153","2.414481","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"154","2.414583","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=4055 Win=64896 Len=0 TSval=683104791 TSecr=1856064368"
"155","2.465804","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"156","2.466191","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"157","2.466295","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=4131 Win=64896 Len=0 TSval=683104842 TSecr=1856064420"
"158","2.517317","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"159","2.517704","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"160","2.517821","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=4207 Win=64896 Len=0 TSval=683104894 TSecr=1856064471"
"161","2.569075","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
